CONTENT ID	CONTENT TYPE	MIRNA ID	SPECIES	EXPERIMENT ID	METHODS	Entrez GENE ID	COMMENTS
143	mirna	miR-18b	Homo sapiens	45	467microRNA Array	574033	Clear hit to Entrez gene ID
144	mirna	miR-190	Homo sapiens	45	467microRNA Array	406965	Clear hit to Entrez gene ID
145	mirna	miR-191	Homo sapiens	45	467microRNA Array	406966	Clear hit to Entrez gene ID
146	mirna	miR-192	Homo sapiens	45	467microRNA Array	406967	Clear hit to Entrez gene ID
147	mirna	miR-193a	Homo sapiens	45	467microRNA Array	406968	Clear hit to Entrez gene ID
148	mirna	miR-193b	Homo sapiens	45	467microRNA Array	574455	Clear hit to Entrez gene ID
149	mirna	miR-194	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
150	mirna	miR-196b	Homo sapiens	45	467microRNA Array	442920	Clear hit to Entrez gene ID
151	mirna	miR-197	Homo sapiens	45	467microRNA Array	406974	Clear hit to Entrez gene ID
152	mirna	miR-198	Homo sapiens	45	467microRNA Array	406975	Clear hit to Entrez gene ID
153	mirna	miR-19a	Homo sapiens	45	467microRNA Array	406979	Clear hit to Entrez gene ID
154	mirna	miR-19b	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
155	mirna	miR-200a	Homo sapiens	45	467microRNA Array	406983	Clear hit to Entrez gene ID
156	mirna	miR-200b	Homo sapiens	45	467microRNA Array	406984	Clear hit to Entrez gene ID
157	mirna	miR-200c	Homo sapiens	45	467microRNA Array	406985	Clear hit to Entrez gene ID
158	mirna	miR-202	Homo sapiens	45	467microRNA Array	574448	Clear hit to Entrez gene ID
159	mirna	miR-203	Homo sapiens	45	467microRNA Array	406986	Clear hit to Entrez gene ID
160	mirna	miR-205	Homo sapiens	45	467microRNA Array	406988	Clear hit to Entrez gene ID
161	mirna	miR-206	Homo sapiens	45	467microRNA Array	406989	Clear hit to Entrez gene ID
162	mirna	miR-20a	Homo sapiens	45	467microRNA Array	406982	Clear hit to Entrez gene ID
163	mirna	miR-20b	Homo sapiens	45	467microRNA Array	574032	Clear hit to Entrez gene ID
164	mirna	miR-21	Homo sapiens	45	467microRNA Array	406991	Clear hit to Entrez gene ID
165	mirna	miR-210	Homo sapiens	45	467microRNA Array	406992	Clear hit to Entrez gene ID
166	mirna	miR-214	Homo sapiens	45	467microRNA Array	406996	Clear hit to Entrez gene ID
167	mirna	miR-22	Homo sapiens	45	467microRNA Array	407004	Clear hit to Entrez gene ID
168	mirna	miR-220	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
169	mirna	miR-221	Homo sapiens	45	467microRNA Array	407006	Clear hit to Entrez gene ID
170	mirna	miR-222	Homo sapiens	45	467microRNA Array	407007	Clear hit to Entrez gene ID
171	mirna	miR-224	Homo sapiens	45	467microRNA Array	407009	Clear hit to Entrez gene ID
172	mirna	miR-23a	Homo sapiens	45	467microRNA Array	407010	Clear hit to Entrez gene ID
173	mirna	miR-23b	Homo sapiens	45	467microRNA Array	407011	Clear hit to Entrez gene ID
174	mirna	miR-24	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
175	mirna	miR-25	Homo sapiens	45	467microRNA Array	407014	Clear hit to Entrez gene ID
176	mirna	miR-26a	Homo sapiens	45	467microRNA Array	407015	Clear hit to Entrez gene ID
177	mirna	miR-26b	Homo sapiens	45	467microRNA Array	407017	Clear hit to Entrez gene ID
178	mirna	miR-27a	Homo sapiens	45	467microRNA Array	407018	Clear hit to Entrez gene ID
179	mirna	miR-27b	Homo sapiens	45	467microRNA Array	407019	Clear hit to Entrez gene ID
180	mirna	miR-28	Homo sapiens	45	467microRNA Array	407020	Clear hit to Entrez gene ID
181	mirna	miR-296	Homo sapiens	45	467microRNA Array	407022	Clear hit to Entrez gene ID
182	mirna	miR-29a	Homo sapiens	45	467microRNA Array	407021	Clear hit to Entrez gene ID
183	mirna	miR-29b	Homo sapiens	45	467microRNA Array	407024	Ambiguous mapping to Entrez gene ID
184	mirna	miR-29b	Homo sapiens	45	467microRNA Array	407025	Ambiguous mapping to Entrez gene ID
185	mirna	miR-301	Homo sapiens	45	467microRNA Array	407027	Clear hit to Entrez gene ID
186	mirna	miR-302a	Homo sapiens	45	467microRNA Array	407028	Clear hit to Entrez gene ID
187	mirna	miR-30a-3p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
188	mirna	miR-30a-5p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
189	mirna	miR-30b	Homo sapiens	45	467microRNA Array	407030	Clear hit to Entrez gene ID
190	mirna	miR-30c	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
191	mirna	miR-30d	Homo sapiens	45	467microRNA Array	407033	Clear hit to Entrez gene ID
192	mirna	miR-30e-3p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
193	mirna	miR-31	Homo sapiens	45	467microRNA Array	407035	Clear hit to Entrez gene ID
194	mirna	miR-320	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
195	mirna	miR-324-3p	Homo sapiens	45	467microRNA Array	442898	Clear hit to Entrez gene ID
196	mirna	miR-324-5p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
197	mirna	miR-328	Homo sapiens	45	467microRNA Array	442901	Clear hit to Entrez gene ID
198	mirna	miR-331	Homo sapiens	45	467microRNA Array	442903	Clear hit to Entrez gene ID
199	mirna	miR-335	Homo sapiens	45	467microRNA Array	442904	Clear hit to Entrez gene ID
200	mirna	miR-339	Homo sapiens	45	467microRNA Array	442907	Clear hit to Entrez gene ID
201	mirna	miR-342	Homo sapiens	45	467microRNA Array	442909	Clear hit to Entrez gene ID
202	mirna	miR-345	Homo sapiens	45	467microRNA Array	442910	Clear hit to Entrez gene ID
203	mirna	miR-346	Homo sapiens	45	467microRNA Array	442911	Clear hit to Entrez gene ID
204	mirna	miR-34a	Homo sapiens	45	467microRNA Array	407040	Clear hit to Entrez gene ID
205	mirna	miR-361	Homo sapiens	45	467microRNA Array	494323	Clear hit to Entrez gene ID
206	mirna	miR-362	Homo sapiens	45	467microRNA Array	574030	Clear hit to Entrez gene ID
207	mirna	miR-365	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
208	mirna	miR-369-3p	Homo sapiens	45	467microRNA Array	442914	Clear hit to Entrez gene ID
209	mirna	miR-370	Homo sapiens	45	467microRNA Array	442915	Clear hit to Entrez gene ID
210	mirna	miR-371	Homo sapiens	45	467microRNA Array	442916	Clear hit to Entrez gene ID
211	mirna	miR-373	Homo sapiens	45	467microRNA Array	442918	Clear hit to Entrez gene ID
212	mirna	miR-375	Homo sapiens	45	467microRNA Array	494324	Clear hit to Entrez gene ID
213	mirna	miR-421	Homo sapiens	45	467microRNA Array	693122	Clear hit to Entrez gene ID
214	mirna	miR-422a	Homo sapiens	45	467microRNA Array	494334	Clear hit to Entrez gene ID
215	mirna	miR-422b	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
216	mirna	miR-423	Homo sapiens	45	467microRNA Array	494335	Clear hit to Entrez gene ID
217	mirna	miR-424	Homo sapiens	45	467microRNA Array	494336	Clear hit to Entrez gene ID
218	mirna	miR-425-3p	Homo sapiens	45	467microRNA Array	494337	Clear hit to Entrez gene ID
219	mirna	miR-425-5p	Homo sapiens	45	467microRNA Array	494337	Clear hit to Entrez gene ID
220	mirna	miR-429	Homo sapiens	45	467microRNA Array	554210	Clear hit to Entrez gene ID
221	mirna	miR-432	Homo sapiens	45	467microRNA Array	574451	Clear hit to Entrez gene ID
222	mirna	miR-452	Homo sapiens	45	467microRNA Array	574412	Clear hit to Entrez gene ID
223	mirna	miR-453	Homo sapiens	45	467microRNA Array	574410	Clear hit to Entrez gene ID
224	mirna	miR-454-3p	Homo sapiens	45	467microRNA Array	768216	Clear hit to Entrez gene ID
225	mirna	miR-454-5p	Homo sapiens	45	467microRNA Array	768216	Clear hit to Entrez gene ID
226	mirna	miR-483	Homo sapiens	45	467microRNA Array	619552	Clear hit to Entrez gene ID
227	mirna	miR-484	Homo sapiens	45	467microRNA Array	619553	Clear hit to Entrez gene ID
228	mirna	miR-485-5p	Homo sapiens	45	467microRNA Array	574436	Clear hit to Entrez gene ID
229	mirna	miR-486	Homo sapiens	45	467microRNA Array	619554	Clear hit to Entrez gene ID
230	mirna	miR-487b	Homo sapiens	45	467microRNA Array	664616	Clear hit to Entrez gene ID
231	mirna	miR-494	Homo sapiens	45	467microRNA Array	574452	Clear hit to Entrez gene ID
232	mirna	miR-500	Homo sapiens	45	467microRNA Array	574502	Clear hit to Entrez gene ID
233	mirna	miR-502	Homo sapiens	45	467microRNA Array	574504	Clear hit to Entrez gene ID
234	mirna	miR-505	Homo sapiens	45	467microRNA Array	574508	Clear hit to Entrez gene ID
235	mirna	miR-512-3p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
236	mirna	miR-513	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
237	mirna	miR-517c	Homo sapiens	45	467microRNA Array	574492	Clear hit to Entrez gene ID
238	mirna	miR-519b	Homo sapiens	45	467microRNA Array	574469	Clear hit to Entrez gene ID
239	mirna	miR-521	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
240	mirna	miR-522	Homo sapiens	45	467microRNA Array	574495	Clear hit to Entrez gene ID
241	mirna	miR-526a	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
242	mirna	miR-527	Homo sapiens	45	467microRNA Array	574497	Clear hit to Entrez gene ID
243	mirna	miR-532	Homo sapiens	45	467microRNA Array	693124	Clear hit to Entrez gene ID
244	mirna	miR-550	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
245	mirna	miR-557	Homo sapiens	45	467microRNA Array	693142	Clear hit to Entrez gene ID
246	mirna	miR-565	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
247	mirna	miR-571	Homo sapiens	45	467microRNA Array	693156	Clear hit to Entrez gene ID
248	mirna	miR-574	Homo sapiens	45	467microRNA Array	693159	Clear hit to Entrez gene ID
249	mirna	miR-578	Homo sapiens	45	467microRNA Array	693163	Clear hit to Entrez gene ID
250	mirna	miR-582	Homo sapiens	45	467microRNA Array	693167	Clear hit to Entrez gene ID
251	mirna	miR-584	Homo sapiens	45	467microRNA Array	693169	Clear hit to Entrez gene ID
252	mirna	miR-585	Homo sapiens	45	467microRNA Array	693170	Clear hit to Entrez gene ID
253	mirna	miR-590	Homo sapiens	45	467microRNA Array	693175	Clear hit to Entrez gene ID
254	mirna	miR-593	Homo sapiens	45	467microRNA Array	693178	Clear hit to Entrez gene ID
255	mirna	miR-594	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
256	mirna	miR-595	Homo sapiens	45	467microRNA Array	693180	Clear hit to Entrez gene ID
257	mirna	miR-603	Homo sapiens	45	467microRNA Array	693188	Clear hit to Entrez gene ID
258	mirna	miR-608	Homo sapiens	45	467microRNA Array	693193	Clear hit to Entrez gene ID
259	mirna	miR-612	Homo sapiens	45	467microRNA Array	693197	Clear hit to Entrez gene ID
260	mirna	miR-625	Homo sapiens	45	467microRNA Array	693210	Clear hit to Entrez gene ID
261	mirna	miR-628	Homo sapiens	45	467microRNA Array	693213	Clear hit to Entrez gene ID
262	mirna	miR-629	Homo sapiens	45	467microRNA Array	693214	Clear hit to Entrez gene ID
263	mirna	miR-634	Homo sapiens	45	467microRNA Array	693219	Clear hit to Entrez gene ID
264	mirna	miR-637	Homo sapiens	45	467microRNA Array	693222	Clear hit to Entrez gene ID
265	mirna	miR-638	Homo sapiens	45	467microRNA Array	693223	Clear hit to Entrez gene ID
266	mirna	miR-642	Homo sapiens	45	467microRNA Array	693227	Clear hit to Entrez gene ID
267	mirna	miR-645	Homo sapiens	45	467microRNA Array	693230	Clear hit to Entrez gene ID
268	mirna	miR-647	Homo sapiens	45	467microRNA Array	693232	Clear hit to Entrez gene ID
269	mirna	miR-649	Homo sapiens	45	467microRNA Array	693234	Clear hit to Entrez gene ID
270	mirna	miR-652	Homo sapiens	45	467microRNA Array	724022	Clear hit to Entrez gene ID
271	mirna	miR-660	Homo sapiens	45	467microRNA Array	724030	Clear hit to Entrez gene ID
272	mirna	miR-663	Homo sapiens	45	467microRNA Array	724033	Clear hit to Entrez gene ID
273	mirna	miR-671	Homo sapiens	45	467microRNA Array	768213	Clear hit to Entrez gene ID
274	mirna	miR-765	Homo sapiens	45	467microRNA Array	768220	Clear hit to Entrez gene ID
275	mirna	miR-766	Homo sapiens	45	467microRNA Array	768218	Clear hit to Entrez gene ID
276	mirna	miR-768-3p	Homo sapiens	45	467microRNA Array	692111	Clear hit to Entrez gene ID
277	mirna	miR-768-5p	Homo sapiens	45	467microRNA Array	692111	Clear hit to Entrez gene ID
278	mirna	miR-769-3p	Homo sapiens	45	467microRNA Array	768217	Clear hit to Entrez gene ID
279	mirna	miR-769-5p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
280	mirna	miR-801	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
281	mirna	miR-9	Homo sapiens	45	467microRNA Array	406952	Ambiguous mapping to Entrez gene ID
282	mirna	miR-9	Homo sapiens	45	467microRNA Array	407048	Ambiguous mapping to Entrez gene ID
283	mirna	miR-92	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
284	mirna	miR-92b	Homo sapiens	45	467microRNA Array	693235	Clear hit to Entrez gene ID
