CONTENT ID	CONTENT TYPE	LIPID ID	SPECIES	EXPERIMENT ID	METHODS
112	lipid	PE16:0/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
113	lipid	PE18:0/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
114	lipid	PE16:0/16:0	Rattus norvegicus	129	HPLC|Gas chromatography
115	lipid	PE18:0/20:3	Rattus norvegicus	129	HPLC|Gas chromatography
116	lipid	PE18:0/20:2	Rattus norvegicus	129	HPLC|Gas chromatography
117	lipid	PE18:1/20:1	Rattus norvegicus	129	HPLC|Gas chromatography
118	lipid	PE18:0/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
119	lipid	PE16:0/20:1	Rattus norvegicus	129	HPLC|Gas chromatography
120	lipid	PE16:0/18:0	Rattus norvegicus	129	HPLC|Gas chromatography
121	lipid	Cholesterol (Chol)	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
122	lipid	PI18:0/20:3 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
123	lipid	PI18:0/20:4 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
124	lipid	PI18:0/18:1 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
125	lipid	PI18:1/18:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
126	lipid	PI18:0/16:0 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
127	lipid	PA18:0/18:1 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
128	lipid	PS18:0/18:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
129	lipid	BMP18:0/18:1 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
